# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
Google Mini Kick Ball,2018,"$6,909.93",263,"3,967",$1.74,15.08,$0.00,33.16%,7.62%
Nest® Learning Thermostat E - USA,2017,"$6,831.00",51,69,$99.00,1.35,$0.00,56.78%,25.63%
Google Mesh Bag Blue,2018,"$6,796.31",176,"1,369",$4.96,7.78,$0.00,45.40%,11.02%
Google Snapback Black Cap,2018,"$6,764.02",148,398,$17.00,2.69,$0.00,13.42%,2.46%
Nest® Protect Smoke + CO White Wired Alarm - CA,2017,"$6,760.00",31,65,$104.00,2.10,$0.00,0.00%,"3,100.00%"
Google Canvas Tote Natural/Navy,2016,"$6,724.53",107,507,$13.26,4.74,$0.00,31.76%,11.00%
Basic Google T-Shirt,2015,"$6,724.15",227,499,$13.48,2.20,$0.00,23.47%,5.30%
Red Shine 15 oz Mug,2016,"$6,696.94",241,586,$11.43,2.43,$0.00,56.41%,18.73%
Cam IQ Outdoor - USA,2018,"$6,696.00",13,24,$279.00,1.85,$0.00,35.84%,0.82%
RoxBox Mini Twist Bluetooth Speaker,2016,"$6,681.65",16,89,$75.07,5.56,$0.00,4.66%,0.68%
Google Men's Performance Full Zip Jacket Black,2017,"$6,577.80",93,102,$64.49,1.10,$0.00,12.33%,2.85%
RoxBox Mini Twist Bluetooth Speaker,2015,"$6,560.40",30,87,$75.41,2.90,$0.00,4.61%,1.15%
Jacquard-Knit Full-Zip Fleece,2016,"$6,474.20",70,86,$75.28,1.23,$0.00,11.06%,1.46%
Google Tube Power Bank,2017,"$6,442.05",78,435,$14.81,5.58,$0.00,13.90%,4.34%
YouTube Twill Sandwich Cap Black,2018,"$6,416.66",156,534,$12.02,3.42,$0.00,35.14%,3.71%
Google Packable Bag Black,2018,"$6,416.03",113,397,$16.16,3.51,$0.00,18.85%,2.78%
Recycled Mouse Pad,2016,"$6,393.20",413,"4,034",$1.58,9.77,$0.00,43.13%,10.55%
Fiji Pens - Pack of 6,2015,"$6,370.45",258,"1,358",$4.69,5.26,$0.00,37.30%,9.57%
"You ""Tube"" Socks",2015,"$6,333.60",143,812,$7.80,5.68,$0.00,19.19%,3.43%
Google 17oz Stainless Steel Sport Bottle,2016,"$6,285.00",118,400,$15.71,3.39,$0.00,27.13%,8.51%
Google Flex Journal Blue,2018,"$6,238.76",60,924,$6.75,15.40,$0.00,23.28%,9.38%
Google Bot,2018,"$6,234.61",225,739,$8.44,3.28,$0.00,24.40%,5.02%
Google Crew Sweater Navy,2017,"$6,228.14",119,146,$42.66,1.23,$0.00,22.39%,6.37%
Pen Pencil & Highlighter Set,2017,"$6,182.61",118,"1,659",$3.73,14.06,$0.00,44.98%,12.20%
Google Virtual Gift Card,2015,"$6,135.00",168,168,$36.52,1.00,$0.00,0.00%,31.34%
Window Pad Notebook,2016,"$6,128.85",39,683,$8.97,17.51,$0.00,11.63%,3.63%
Mens Voyage Fleece Jacket,2016,"$6,083.60",86,131,$46.44,1.52,$0.00,8.12%,2.45%
Google 24oz Ring Bottle Blue,2018,"$6,072.01",108,959,$6.33,8.88,$0.00,83.47%,43.55%
Android Twill Cap,2017,"$6,062.13",57,627,$9.67,11.00,$0.00,30.81%,8.44%
Google Men's Quilted Insulated Vest Black,2017,"$6,038.51",120,126,$47.92,1.05,$0.00,17.98%,5.33%
YouTube Ultimate Hooded Sweatshirt,2015,"$6,033.15",166,185,$32.61,1.11,$0.00,10.62%,1.73%
Google Tee Green,2017,"$5,971.92",182,328,$18.21,1.80,$0.00,40.09%,16.62%
Nest® Learning Thermostat 3rd Gen - CA - Stainless Steel,2018,"$5,970.00",27,30,$199.00,1.11,$0.00,0.00%,"1,350.00%"
YouTube 3 lines Tee Grey,2017,"$5,954.84",32,276,$21.58,8.62,$0.00,58.54%,78.05%
Google Device Stand,2017,"$5,923.44",173,"1,256",$4.72,7.26,$0.00,27.41%,9.43%
Google Fold-over Beanie Grey,2018,"$5,875.01",155,699,$8.40,4.51,$0.00,36.82%,6.08%
