# ----------------------------------------
# 1 Master View
# Product Performance
# 20141001-20200229
# ----------------------------------------

Product,Year,Product Revenue,Unique Purchases,Quantity,Avg. Price,Avg. QTY,Product Refund Amount,Cart-to-Detail Rate,Buy-to-Detail Rate
YouTube Recycled Spiral Journal,2015,"$1,732.75",32,239,$7.25,7.47,$0.00,14.48%,1.75%
UpCycled Bike Saddle Bag,2017,"$1,732.51",13,49,$35.36,3.77,$0.00,4.16%,3.60%
Juggle Ball Set,2015,"$1,729.00",79,364,$4.75,4.61,$0.00,30.76%,7.52%
Retractable Ballpoint Pen Red,2016,"$1,723.75",58,"1,452",$1.19,25.03,$0.00,53.63%,18.30%
Chrome Unisex T-Shirt,2016,"$1,720.10",90,148,$11.62,1.64,$0.00,18.03%,4.90%
YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,2017,"$1,719.14",83,184,$9.34,2.22,$0.00,19.04%,6.90%
Android Lifted Men's Short Sleeve Tee Blue,2017,"$1,719.08",49,92,$18.69,1.88,$0.00,389.47%,257.89%
Android Colorblock Hooded Pullover,2015,"$1,713.25",33,34,$50.39,1.03,$0.00,5.06%,0.79%
YouTube Trucker Hat,2017,"$1,710.66",26,94,$18.20,3.62,$0.00,20.18%,1.99%
Google 4400mAh Power Bank,2017,"$1,709.48",22,52,$32.87,2.36,$0.00,18.35%,3.96%
Google Men's Vintage Tank,2017,"$1,707.32",111,126,$13.55,1.14,$0.00,31.21%,13.59%
Ladies Colorblock Wind Jacket,2016,"$1,700.45",31,37,$45.96,1.19,$0.00,7.56%,2.06%
Google Mouse Pad Navy,2018,"$1,700.07",128,393,$4.33,3.07,$0.00,37.27%,5.67%
Gift Card- $100.00,2016,"$1,700.00",17,17,$100.00,1.00,$0.00,47.02%,11.26%
Google Campus Bike Tote Navy,2019,"$1,697.98",5,154,$11.03,30.80,$0.00,23.36%,0.33%
Android Journal Book Set,2016,"$1,697.05",54,215,$7.89,3.98,$0.00,34.29%,8.16%
Pack of 16 Individual Android Stickers,2016,"$1,696.80",132,404,$4.20,3.06,$0.00,26.53%,7.19%
Google Slim Utility Travel Bag,2016,"$1,693.72",27,128,$13.23,4.74,$0.00,11.80%,2.90%
Google+ Bamboo Pen with Stylus,2015,"$1,692.50",13,170,$9.96,13.08,$0.00,16.12%,2.36%
Men's Weatherblock Shell Jacket Black,2016,"$1,692.39",20,21,$80.59,1.05,$0.00,0.00%,0.00%
Wireless Gaming Mouse,2016,"$1,687.70",73,82,$20.58,1.12,$0.00,3.85%,0.68%
Google Small Gift Bag,2015,"$1,681.50",63,980,$1.72,15.56,$0.00,34.03%,10.06%
Android Bot Socks,2015,"$1,680.00",34,210,$8.00,6.18,$0.00,18.93%,3.97%
Google Men's Short Sleeve Performance Badge Tee Navy,2017,"$1,677.56",88,104,$16.13,1.18,$0.00,56.23%,29.63%
YouTube Ceramic Mug 12oz.,2016,"$1,676.80",92,256,$6.55,2.78,$0.00,15.44%,2.25%
YouTube Onesie Heather,2016,"$1,664.78",50,82,$20.30,1.64,$0.00,26.82%,8.88%
Android 4GB USB,2016,"$1,662.55",13,79,$21.04,6.08,$0.00,6.20%,1.22%
Adult Android Superhero T-Shirt,2015,"$1,661.30",82,110,$15.10,1.34,$0.00,18.55%,2.99%
Rainbow Stylus Pen,2017,"$1,652.10",54,"1,121",$1.47,20.76,$0.00,82.52%,52.43%
Android Toddler Short Sleeve T-shirt Pewter,2017,"$1,651.39",33,101,$16.35,3.06,$0.00,51.05%,23.08%
Nest®  Thermostat E - CA,2017,"$1,640.98",10,11,$149.18,1.10,$0.00,0.00%,500.00%
Google Youth Short Sleeve T-shirt Royal Blue,2017,"$1,640.69",31,91,$18.03,2.94,$0.00,36.44%,12.55%
Nest®  Thermostat E - CA,2018,"$1,639.00",9,11,$149.00,1.22,$0.00,0.00%,300.00%
Google Flower Tee Purple,2018,"$1,636.55",99,105,$15.59,1.06,$0.00,72.34%,52.66%
Google Women's Insulated Thermal Vest Navy,2016,"$1,631.84",15,16,$101.99,1.07,$0.00,29.72%,7.08%
YouTube Ceramic Mug 12oz.,2015,"$1,624.40",59,248,$6.55,4.20,$0.00,17.51%,2.24%
Nest® Cam IQ - CA,2017,"$1,614.00",4,6,$269.00,1.50,$0.00,20.00%,80.00%
Rubber Grip Ballpoint Pen 4 Pack,2016,"$1,611.41",71,359,$4.49,5.06,$0.00,49.89%,15.47%
Android Men's Engineer Short Sleeve Tee Charcoal,2017,"$1,607.12",78,88,$18.26,1.13,$0.00,30.74%,5.58%
12 oz Hobnail Ceramic Mug,2015,"$1,604.95",9,218,$7.36,24.22,$0.00,12.77%,1.20%
Google Accent Insulated Stainless Steel Bottle,2016,"$1,604.30",18,70,$22.92,3.89,$0.00,14.31%,2.80%
Blue Inspirale Notebook,2015,"$1,602.30",37,218,$7.35,5.89,$0.00,20.36%,8.28%
Google Collapsible Duffel Black,2017,"$1,600.80",29,80,$20.01,2.76,$0.00,0.00%,0.00%
8pc Android Sticker Sheet,2015,"$1,599.70",110,941,$1.70,8.55,$0.00,23.68%,4.60%
Google Wool Heather Cap Heather/Navy,2017,"$1,594.32",37,68,$23.45,1.84,$0.00,29.59%,7.16%
Android Men's Short Sleeve Tri-blend Hero Tee Grey,2017,"$1,592.15",80,122,$13.05,1.52,$0.00,17.48%,9.99%
Basecamp Explorer Powerbank Flashlight,2017,"$1,591.88",34,102,$15.61,3.00,$0.00,15.78%,4.10%
BIC Color Pen - Pack of 3,2015,"$1,584.80",71,476,$3.33,6.70,$0.00,22.82%,6.81%
Android 24 oz Contigo Addison,2016,"$1,583.18",6,82,$19.31,13.67,$0.00,0.00%,0.00%
YouTube RFID Journal,2017,"$1,581.21",24,246,$6.43,10.25,$0.00,9.46%,1.52%
Ladies Yerba Knit Quarter Zip,2015,"$1,577.40",24,25,$63.10,1.04,$0.00,5.80%,1.68%
Tri-Blend V-Neck Tee,2015,"$1,577.30",77,106,$14.88,1.38,$0.00,19.44%,3.28%
Android Scuba Beach Towel,2015,"$1,574.40",25,48,$32.80,1.92,$0.00,11.25%,1.89%
Android Spiral Journal with Pen,2017,"$1,574.24",19,216,$7.29,11.37,$0.00,30.26%,7.01%
Google Women's Scoop Neck Tee White,2017,"$1,571.75",190,263,$5.98,1.38,$0.00,51.13%,33.04%
Google Women's Performance Golf Polo Blue,2017,"$1,569.45",86,109,$14.40,1.27,$0.00,161.11%,119.44%
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,2017,"$1,553.46",77,94,$16.53,1.22,$0.00,0.00%,0.00%
Large Zipper Top Tote Bag,2017,"$1,544.47",23,53,$29.14,2.30,$0.00,14.74%,4.58%
Google Men's Skater Tee Grey,2017,"$1,541.27",84,113,$13.64,1.35,$0.00,585.71%,600.00%
Recycled Plastic Bottle Hoodie - Green,2016,"$1,532.35",24,25,$61.29,1.04,$0.00,4.15%,0.85%
Ladies Yerba Knit Quarter Zip,2016,"$1,528.90",20,24,$63.70,1.20,$0.00,6.87%,3.05%
SPF-15 Slim & Slender Lip Balm,2016,"$1,528.00",47,675,$2.26,14.36,$0.00,52.31%,18.08%
YouTube Men's Vintage Henley,2017,"$1,520.38",87,100,$15.20,1.15,$0.00,23.33%,2.78%
BKR Bottle - Vacation Blue,2016,"$1,520.00",21,40,$38.00,1.90,$0.00,6.83%,2.52%
Executive Twist Ballpoint Pen,2017,"$1,508.23",29,177,$8.52,6.10,$0.00,86.67%,96.67%
Google Sticker Ultra Removable,2016,"$1,508.20",121,909,$1.66,7.51,$0.00,22.87%,5.16%
16oz Verde Tumbler,2016,"$1,506.05",46,169,$8.91,3.67,$0.00,23.54%,7.68%
Google 40 oz Insulated Monster Bottle,2016,"$1,502.29",25,51,$29.46,2.04,$0.00,14.49%,5.84%
Android Grid Socks,2016,"$1,496.00",88,187,$8.00,2.12,$0.00,28.65%,8.13%
Google Women's Short Sleeve Performance Tee Navy,2017,"$1,495.49",17,95,$15.74,5.59,$0.00,80.77%,65.38%
Sport Bottle w/ Metallic Ring 28 oz,2016,"$1,494.60",28,159,$9.40,5.68,$0.00,15.17%,2.95%
Android Luggage Tag,2017,"$1,492.27",33,173,$8.63,5.24,$0.00,33.62%,9.57%
Android Window Pad Notebook,2016,"$1,490.40",19,162,$9.20,8.53,$0.00,22.66%,1.57%
YouTube Men's Vintage Tank,2017,"$1,490.25",69,126,$11.83,1.83,$0.00,18.85%,4.38%
Google Men's Short Sleeve Hero Tee Charcoal,2016,"$1,488.70",76,90,$16.54,1.18,$0.00,55.48%,26.86%
Google Stretch Fit Hat S/M Navy,2017,"$1,487.31",15,77,$19.32,5.13,$0.00,0.00%,0.00%
Android RFID Journal,2017,"$1,485.91",49,248,$5.99,5.06,$0.00,23.49%,4.07%
Android Youth Short Sleeve T-shirt Aqua,2017,"$1,484.84",31,96,$15.47,3.10,$0.00,45.62%,19.38%
Google Trucker Hat,2017,"$1,484.27",51,73,$20.33,1.43,$0.00,28.44%,7.72%
Triblend YouTube Youth T-Shirt,2016,"$1,482.00",90,114,$13.00,1.27,$0.00,19.12%,3.40%
25L Classic Rucksack,2016,"$1,479.84",16,16,$92.49,1.00,$0.00,7.47%,1.87%
Aluminum Tri-Flashlight,2015,"$1,479.75",19,195,$7.59,10.26,$0.00,13.41%,2.93%
Google Bluetooth Speaker-Power Bank,2016,"$1,478.20",16,20,$73.91,1.25,$0.00,10.24%,2.21%
Google Men's Short Sleeve Performance Badge Tee Black,2016,"$1,473.24",65,76,$19.38,1.17,$0.00,39.34%,15.40%
Android Women's Fleece Hoodie,2017,"$1,471.36",15,32,$45.98,2.13,$0.00,30.96%,7.61%
Google Onesie Red/Graphite,2017,"$1,468.07",69,73,$20.11,1.06,$0.00,47.66%,10.78%
Google Women's Convertible Vest-Jacket Sea Foam Green,2016,"$1,465.03",17,17,$86.18,1.00,$0.00,6.98%,2.47%
Single Knit Striped Beanie - Navy/White,2016,"$1,463.20",50,124,$11.80,2.48,$0.00,16.40%,5.81%
Waze Dress Socks,2017,"$1,461.49",70,191,$7.65,2.73,$0.00,67.39%,11.65%
Maze Pen,2015,"$1,458.50",108,"2,322",$0.63,21.50,$0.00,29.43%,6.14%
Google Snapback Hat Black,2017,"$1,455.42",45,86,$16.92,1.91,$0.00,24.46%,5.73%
Tri-Blend V-Neck Tee,2016,"$1,451.30",64,95,$15.28,1.48,$0.00,26.68%,7.98%
Google Youth Girl Hoodie,2017,"$1,449.27",47,51,$28.42,1.09,$0.00,37.43%,12.57%
Plastic Bottle Pen 5 Pack,2015,"$1,447.25",25,277,$5.22,11.08,$0.00,20.41%,3.62%
Google Infuser-Top Water Bottle,2016,"$1,444.41",23,159,$9.08,6.91,$0.00,18.53%,4.35%
Rainbow Stylus Pen,2016,"$1,442.70",48,976,$1.48,20.33,$0.00,47.20%,38.40%
Google Tee White,2019,"$1,442.47",74,83,$17.38,1.12,$0.00,18.94%,0.80%
Google Infant Zip Hood Pink,2016,"$1,435.95",43,45,$31.91,1.05,$0.00,35.84%,9.82%
Android Large Removable Sticker Sheet,2018,"$1,434.28",167,572,$2.51,3.43,$0.00,39.25%,7.45%
Android Women's Fleece Hoodie,2016,"$1,433.30",25,30,$47.78,1.20,$0.00,24.44%,13.89%
Google Women's Short Sleeve Performance Tee Black,2017,"$1,426.90",10,90,$15.85,9.00,$0.00,25.00%,20.83%
Nest® Protect Smoke + CO Black Battery Alarm-USA,2016,"$1,422.00",12,18,$79.00,1.50,$0.00,30.92%,7.89%
Google Infant Short Sleeve Tee White,2017,"$1,416.85",65,95,$14.91,1.46,$0.00,49.04%,13.86%
Google Canteen Bottle Black,2019,"$1,415.41",14,59,$23.99,4.21,$0.00,21.25%,0.73%
Universal Work Light,2015,"$1,407.60",27,72,$19.55,2.67,$0.00,4.82%,1.48%
NEW Compact Eco Journal - Blue,2015,"$1,406.70",28,521,$2.70,18.61,$0.00,33.81%,13.33%
Google F/C Longsleeve Charcoal,2019,"$1,405.86",43,45,$31.24,1.05,$0.00,5.57%,6.85%
Bella Ladies Favorite Tee,2015,"$1,405.00",88,128,$10.98,1.45,$0.00,29.42%,10.88%
Ladies Tri-Blend V-Neck T-Shirt,2015,"$1,404.00",32,40,$35.10,1.25,$0.00,12.42%,2.60%
Stadium Cups - Set of 4,2015,"$1,402.05",111,384,$3.65,3.46,$0.00,39.41%,9.37%
Rowan Pullover Hood,2016,"$1,399.55",20,23,$60.85,1.15,$0.00,4.63%,1.22%
Google Cloth & Pouch Black,2018,"$1,398.93",39,427,$3.28,10.95,$0.00,14.60%,2.05%
Android Napa Perfect Bound Journal,2016,"$1,394.90",24,148,$9.42,6.17,$0.00,14.29%,5.04%
NestÂ® Learning Thermostat 3rd Gen - CA - Stainless Steel,2018,"$1,393.00",6,7,$199.00,1.17,$0.00,200.00%,600.00%
Google Maps T-Shirt,2015,"$1,389.30",58,75,$18.52,1.29,$0.00,13.47%,3.93%
Google Recycled Notebook Set Natural,2018,"$1,387.15",18,125,$11.10,6.94,$0.00,25.93%,6.67%
Android Porcelain Mug,2016,"$1,382.70",43,118,$11.72,2.74,$0.00,17.78%,4.18%
Tri-Blend Raglan Long Sleeve,2016,"$1,382.40",27,27,$51.20,1.00,$0.00,8.86%,1.47%
Ballpoint Pen & Matching Tube Case,2016,"$1,381.09",45,251,$5.50,5.58,$0.00,60.44%,24.73%
YouTube Sticker Sheet,2015,"$1,380.40",117,476,$2.90,4.07,$0.00,26.83%,2.79%
Black Performance Cap,2015,"$1,380.30",70,125,$11.04,1.79,$0.00,15.38%,3.85%
Google Accent Insulated Stainless Steel Bottle,2017,"$1,379.39",24,61,$22.61,2.54,$0.00,18.13%,4.31%
Nest® Protect Smoke + CO White Battery Alarm - CA,2016,"$1,377.00",9,13,$105.92,1.44,$0.00,0.00%,0.00%
Google Toddler Hoodie Royal Blue,2016,"$1,375.17",40,43,$31.98,1.08,$0.00,29.96%,7.35%
Google Long Sleeve Raglan Badge Henley Ocean Blue,2016,"$1,374.34",62,66,$20.82,1.06,$0.00,33.67%,8.88%
Android Concert T-Shirt,2016,"$1,374.05",85,98,$14.02,1.15,$0.00,25.16%,6.09%
Recycled Mouse Pad,2015,"$1,371.90",88,655,$2.09,7.44,$0.00,33.96%,6.87%
Fleece Full-Zip Hoodie,2016,"$1,370.85",24,30,$45.70,1.25,$0.00,4.86%,1.03%
Structured Linen Mesh Performance Cap,2015,"$1,368.25",76,168,$8.14,2.21,$0.00,18.45%,3.83%
Women's Performance Full Zip Jacket Black,2016,"$1,367.87",11,13,$105.22,1.18,$0.00,0.00%,0.00%
Ladies YouTube Favorite Tee,2016,"$1,367.75",87,123,$11.12,1.41,$0.00,16.71%,3.67%
Google Pen White,2018,"$1,364.30",129,902,$1.51,6.99,$0.00,60.14%,22.75%
Gloss Laminate Journalbook,2015,"$1,359.60",34,103,$13.20,3.03,$0.00,12.48%,2.15%
Android BTTF Cosmos Graphic Tee,2016,"$1,359.23",70,77,$17.65,1.10,$0.00,36.77%,22.58%
YouTube Luggage Tag,2017,"$1,355.52",18,168,$8.07,9.33,$0.00,23.01%,4.10%
Single Knit Striped Beanie - Navy/White,2015,"$1,354.75",59,115,$11.78,1.95,$0.00,22.09%,5.01%
Nest® Protect Smoke + CO White Battery Alarm - CA,2018,"$1,352.00",10,13,$104.00,1.30,$0.00,0.00%,0.00%
Baby Knit Beanie,2016,"$1,349.10",128,171,$7.89,1.34,$0.00,32.45%,17.02%
Google Wool Heather Cap Heather/Navy,2016,"$1,344.40",41,60,$22.41,1.46,$0.00,26.89%,7.77%
Suitcase Organizer Cubes,2016,"$1,341.26",32,74,$18.13,2.31,$0.00,13.09%,3.35%
Google Pocket Bluetooth Speaker,2016,"$1,337.83",21,57,$23.47,2.71,$0.00,18.76%,4.99%
Omi Tech Tee,2015,"$1,335.90",65,73,$18.30,1.12,$0.00,15.33%,3.55%
Android Lighted Bounce Pen,2015,"$1,330.45",45,451,$2.95,10.02,$0.00,20.60%,4.19%
Womens Android Heart T-Shirt,2016,"$1,323.65",100,124,$10.67,1.24,$0.00,23.68%,7.33%
Google Flashlight,2016,"$1,319.73",8,27,$48.88,3.38,$0.00,8.48%,1.26%
Medium Tuscany Ivory Notebook,2016,"$1,318.20",18,78,$16.90,4.33,$0.00,10.56%,2.47%
Google Toddler Short Sleeve Tee Red,2017,"$1,311.51",69,89,$14.74,1.29,$0.00,33.72%,8.91%
Android Cap,2015,"$1,310.70",54,210,$6.24,3.89,$0.00,19.43%,3.87%
YouTube Custom Decals,2016,"$1,310.14",157,746,$1.76,4.75,$0.00,47.90%,10.15%
Android Glass Water Bottle with Black Sleeve,2016,"$1,309.20",44,120,$10.91,2.73,$0.00,26.37%,5.89%
Womens Full Zip Hoodie with Womans Logo,2015,"$1,305.25",31,32,$40.79,1.03,$0.00,8.56%,1.17%
Google Collapsible Duffel Blue,2017,"$1,303.98",17,62,$21.03,3.65,$0.00,0.00%,0.00%
Google Doodle - Mens Cookie Monster T-Shirt,2016,"$1,303.10",56,63,$20.68,1.12,$0.00,22.15%,6.93%
Google Women's Short Sleeve Badge Tee Navy,2017,"$1,301.95",101,148,$8.80,1.47,$0.00,419.00%,45.70%
Bamboo Mens T-Shirt,2015,"$1,301.70",48,67,$19.43,1.40,$0.00,15.53%,1.73%
YouTube Cotton Tote,2016,"$1,298.95",22,313,$4.15,14.23,$0.00,11.65%,1.77%
Android Women's Long Sleeve Blended Cardigan Grey,2017,"$1,291.44",77,80,$16.14,1.04,$0.00,40.04%,15.65%
Google Women's Convertible Vest-Jacket Black,2017,"$1,286.89",27,30,$42.90,1.11,$0.00,35.95%,11.16%
Google Youth Girl Hoodie,2016,"$1,284.70",32,34,$37.79,1.06,$0.00,18.64%,8.40%
Eco Alf Aspen Wool,2015,"$1,281.85",13,13,$98.60,1.00,$0.00,7.30%,1.48%
Google Separating Keyring,2018,"$1,281.74",104,206,$6.22,1.98,$0.00,41.83%,16.67%
Google Women's Yoga Jacket Black,2016,"$1,280.86",14,14,$91.49,1.00,$0.00,13.17%,3.92%
Waterproof Gear Bag,2016,"$1,279.82",16,18,$71.10,1.12,$0.00,9.01%,3.00%
Mind Blown Tee White,2018,"$1,279.70",40,70,$18.28,1.75,$0.00,10.11%,2.30%
YouTube Men's Vintage Tee,2017,"$1,275.99",33,81,$15.75,2.45,$0.00,242.86%,157.14%
Android Unwashed Chino Twill Cap,2016,"$1,260.75",21,125,$10.09,5.95,$0.00,17.66%,3.20%
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,2016,"$1,259.30",58,70,$17.99,1.21,$0.00,0.00%,0.00%
Google Women's Short Sleeve Badge Tee Grey,2018,"$1,256.30",180,344,$3.65,1.91,$0.00,221.43%,142.86%
Google Infant Zip Hood Royal Blue,2016,"$1,253.61",37,39,$32.14,1.05,$0.00,31.04%,9.41%
Google Men's Performance Hero Tee Gunmetal,2017,"$1,251.44",60,80,$15.64,1.33,$0.00,33.47%,24.19%
Google Women's Long Sleeve Tee Lavender,2017,"$1,246.65",89,94,$13.26,1.06,$0.00,35.59%,15.45%
16oz Color Step Ceramic Mug - Red,2015,"$1,244.80",47,97,$12.83,2.06,$0.00,14.35%,3.29%
You Tube Toddler Short Sleeve Tee Red,2017,"$1,240.20",54,80,$15.50,1.48,$0.00,30.24%,14.32%
Black Moisture Wicking UV Google Cap,2015,"$1,238.45",64,82,$15.10,1.28,$0.00,12.94%,3.34%
Google 4400mAh Power Bank,2016,"$1,238.41",18,39,$31.75,2.17,$0.00,16.71%,5.19%
Google Doodle Decal,2016,"$1,238.30",85,397,$3.12,4.67,$0.00,32.13%,12.76%
Google Women's Short Sleeve Hero Tee Sky Blue,2016,"$1,238.02",60,78,$15.87,1.30,$0.00,42.93%,15.42%
Google Small Cable Organizer Blue,2018,"$1,237.18",59,482,$2.57,8.17,$0.00,25.39%,4.57%
Google Women's Short Sleeve Performance Tee Charcoal,2017,"$1,236.81",51,56,$22.09,1.10,$0.00,37.28%,11.38%
Android Women's Long Sleeve Blended Cardigan Grey,2016,"$1,234.35",33,45,$27.43,1.36,$0.00,34.35%,12.60%
Retractable Ballpoint Pen Red,2017,"$1,228.25",34,"1,072",$1.15,31.53,$0.00,61.65%,16.50%
Android 3 in 1 Lens Pro,2016,"$1,225.15",60,80,$15.31,1.33,$0.00,7.48%,1.52%
Google Thermal Bottle Green,2017,"$1,223.40",26,60,$20.39,2.31,$0.00,39.90%,13.47%
Google Laptop Sleeve Charcoal,2018,"$1,223.28",35,72,$16.99,2.06,$0.00,15.75%,1.76%
22 oz. Android Mini Mountain Bottle,2016,"$1,221.65",73,461,$2.65,6.32,$0.00,29.08%,9.23%
Android Stretch Fit Hat M/L,2017,"$1,219.85",24,102,$11.96,4.25,$0.00,0.00%,0.00%
Google Women's Short Sleeve Hero Tee Black,2016,"$1,199.41",67,79,$15.18,1.18,$0.00,37.65%,10.21%
Google Pen Grey,2018,"$1,199.10",84,774,$1.55,9.21,$0.00,66.67%,37.84%
Android Microfleece Blanket,2016,"$1,197.30",28,33,$36.28,1.18,$0.00,6.65%,1.68%
Android 3 in 1 Lens Pro,2015,"$1,197.00",42,76,$15.75,1.81,$0.00,7.68%,1.36%
Stadium Cups-Sets of 4,2016,"$1,195.14",24,286,$4.18,11.92,$0.00,109.15%,15.69%
16 oz. Hot/Cold Tumbler,2016,"$1,193.33",15,127,$9.40,8.47,$0.00,58.97%,12.82%
Android Glass Water Bottle with Black Sleeve,2017,"$1,192.45",22,95,$12.55,4.32,$0.00,28.42%,7.91%
Google Campus Bike,2018,"$1,191.66",28,34,$35.05,1.21,$0.00,7.23%,1.16%
Google Protector Tee Navy,2018,"$1,191.64",72,76,$15.68,1.06,$0.00,112.93%,62.07%
NestÂ® Protect Smoke + CO White Wired Alarm - CA,2018,"$1,189.00",5,11,$108.09,2.20,$0.00,100.00%,500.00%
Google Men's Short Sleeve Hero Tee Light Blue,2017,"$1,188.69",61,71,$16.74,1.16,$0.00,61.79%,28.77%
Mens Bamboo T-Shirt,2016,"$1,188.60",53,59,$20.15,1.11,$0.00,22.26%,8.19%
Android Men's Vintage Tank,2017,"$1,187.97",98,119,$9.98,1.21,$0.00,40.58%,16.78%
Bamboo Cutting Board,2016,"$1,184.20",32,93,$12.73,2.91,$0.00,5.84%,1.64%
Vastrm Hoodie,2015,"$1,180.00",6,6,$196.67,1.00,$0.00,1.96%,0.12%
Android BTTF Moonshot Graphic Tee,2016,"$1,179.32",59,68,$17.34,1.15,$0.00,60.22%,32.60%
Android Mini Summer Series Set 2015,2015,"$1,176.00",40,56,$21.00,1.40,$0.00,12.05%,1.57%
Google G Handle Tote Bag,2015,"$1,175.00",33,88,$13.35,2.67,$0.00,16.06%,2.68%
Ladies Pullover L/S Hood,2016,"$1,174.50",32,33,$35.59,1.03,$0.00,11.76%,2.81%
YouTube Luggage Tag,2016,"$1,168.81",14,119,$9.82,8.50,$0.00,29.58%,19.72%
Android Window Pad Notebook,2015,"$1,168.40",20,127,$9.20,6.35,$0.00,9.52%,1.80%
Google Now Skyline T-Shirt,2016,"$1,166.80",46,57,$20.47,1.24,$0.00,9.90%,2.57%
Recycled Chrome Mousepad,2015,"$1,166.05",67,544,$2.14,8.12,$0.00,33.48%,5.04%
Google Men's Performance Polo Grey/Black,2017,"$1,155.43",18,18,$64.19,1.00,$0.00,18.43%,2.48%
White Youth T-Shirt,2016,"$1,154.50",97,137,$8.43,1.41,$0.00,32.83%,10.44%
Colored Pencil Set,2016,"$1,153.46",123,454,$2.54,3.69,$0.00,59.47%,16.18%
YouTube Trucker Hat,2016,"$1,151.24",44,56,$20.56,1.27,$0.00,23.90%,4.72%
Mistral Rucksack,2016,"$1,147.82",15,18,$63.77,1.20,$0.00,17.12%,1.93%
Google Collapsible Pet Bowl,2017,"$1,144.99",111,271,$4.23,2.44,$0.00,63.13%,19.96%
Juggle Ball Set,2016,"$1,144.75",53,241,$4.75,4.55,$0.00,27.45%,8.51%
Google Tee F/C Black,2019,"$1,143.53",51,52,$21.99,1.02,$0.00,25.80%,3.79%
Android 24 oz Contigo Bottle,2016,"$1,141.88",36,52,$21.96,1.44,$0.00,26.20%,4.21%
Android Onesie Sprout Green,2017,"$1,134.54",12,66,$17.19,5.50,$0.00,233.33%,400.00%
Google Men's Skater Tee Charcoal,2017,"$1,131.89",58,91,$12.44,1.57,$0.00,491.67%,483.33%
Android Bear Vintage Bodysuit - Green,2016,"$1,129.95",65,81,$13.95,1.25,$0.00,20.71%,10.52%
Pop-a-Point Crayon,2016,"$1,128.46",71,710,$1.59,10.00,$0.00,17.02%,4.28%
Google Men's Around The Block Short Sleeve Tee Ash,2017,"$1,127.62",55,78,$14.46,1.42,$0.00,521.43%,392.86%
Android Wool Heather Cap Heather/Black,2017,"$1,126.84",46,69,$16.33,1.50,$0.00,30.30%,6.54%
Google Men's Long & Lean Tee Grey,2017,"$1,126.57",92,125,$9.01,1.36,$0.00,866.67%,766.67%
The Google Hat,2015,"$1,123.30",39,47,$23.90,1.21,$0.00,10.17%,3.42%
Go Gopher T-Shirt in Teal,2016,"$1,121.90",90,102,$11.00,1.13,$0.00,14.55%,3.13%
Tri-Blend Leisure Shirt,2016,"$1,120.30",33,34,$32.95,1.03,$0.00,8.22%,2.15%
Google Men's Airflow 1/4 Zip Pullover Black,2016,"$1,119.81",19,19,$58.94,1.00,$0.00,13.65%,6.48%
Google+ Ranger Water Bottle,2015,"$1,118.85",19,140,$7.99,7.37,$0.00,14.57%,1.60%
Blue Keeper Notebook Set with Flap,2016,"$1,116.36",22,204,$5.47,9.27,$0.00,57.52%,9.73%
Android Golf Club Covers,2016,"$1,116.00",48,92,$12.13,1.92,$0.00,12.28%,3.96%
Google Executive Umbrella,2016,"$1,112.61",11,39,$28.53,3.55,$0.00,34.72%,7.64%
Google Map T-Shirt,2015,"$1,107.90",59,67,$16.54,1.14,$0.00,15.15%,1.84%
Android Men's Long Sleeve Badge Crew Tee Heather,2016,"$1,106.67",18,33,$33.54,1.83,$0.00,21.05%,8.61%
Google Men's Vintage Tank,2016,"$1,103.97",50,63,$17.52,1.26,$0.00,52.05%,22.83%
Android 25 oz Green Apple Stainless Steel Bottle,2017,"$1,103.05",11,99,$11.14,9.00,$0.00,36.07%,18.03%
Infant Onesie,2015,"$1,101.55",81,90,$12.24,1.11,$0.00,25.36%,5.11%
Android Men's Take Charge Short Sleeve Tee Purple,2017,"$1,093.69",95,100,$10.94,1.05,$0.00,218.97%,163.79%
Android Youth Short Sleeve T-shirt Pewter,2017,"$1,089.99",29,61,$17.87,2.10,$0.00,47.52%,20.57%
Android Journal Book Set,2017,"$1,089.33",24,147,$7.41,6.12,$0.00,23.30%,4.66%
Ladies YouTube Favorite Tee,2015,"$1,088.95",74,97,$11.23,1.31,$0.00,20.47%,3.47%
98 Short Sleeve Tee,2016,"$1,084.90",58,75,$14.47,1.29,$0.00,13.97%,3.45%
Reusable Sandwich and Snack Bag,2016,"$1,082.25",55,333,$3.25,6.05,$0.00,12.17%,3.49%
Android Sticker Sheet Ultra Removable,2016,"$1,081.43",100,397,$2.72,3.97,$0.00,50.20%,13.42%
Android Concert T-Shirt,2015,"$1,080.35",73,77,$14.03,1.05,$0.00,15.28%,2.87%
Android Pride T-Shirt,2016,"$1,075.40",50,56,$19.20,1.12,$0.00,13.00%,3.05%
Pack of 16 Individual Android Stickers,2015,"$1,075.20",65,256,$4.20,3.94,$0.00,16.56%,3.63%
Tri-Blend Raglan Long Sleeve,2015,"$1,075.20",33,34,$31.62,1.03,$0.00,10.78%,1.78%
Heather Pocket Tee - Light Blue,2016,"$1,071.80",36,46,$23.30,1.28,$0.00,17.18%,5.07%
