Rank,Company Name,Number of Employees,Previous Rank,Revenues ($m),Revenue Change,Profits ($m),Profit Change,Assets ($m),Market Value ($m)
139,Emerson Electric,103500,128.0,20268,-9.1%,1635.0,-39.7%,21743,38614
140,Staples,61503,132.0,20217,-4.0%,-1497.0,-494.8%,8271,5723
141,Plains GP Holdings,5100,121.0,20182,-12.8%,94.0,-20.3%,26103,9127
142,Penske Automotive Group,24000,143.0,20143,4.0%,342.9,5.2%,8861,4001
143,Union Pacific,42919,129.0,19941,-8.6%,4233.0,-11.3%,55718,85911
144,Danaher,62000,133.0,19912,-4.8%,2553.7,-23.9%,45295,59359
145,Southern,32015,162.0,19896,13.8%,2448.0,3.4%,109697,49335
146,ManpowerGroup,28000,144.0,19654,1.7%,443.7,5.8%,7574,6938
147,Bristol-Myers Squibb,25000,168.0,19427,17.3%,4457.0,184.8%,33707,89591
148,Altria Group,8300,149.0,19337,2.6%,14239.0,171.7%,45932,138513
149,Fluor,61551,155.0,19037,5.1%,281.4,-31.8%,9216,7353
150,KohlÕs,85000,145.0,18686,-2.7%,556.0,-17.4%,13574,6862
151,Lear,148400,154.0,18558,1.9%,975.1,30.8%,9901,9726
152,Jabil Circuit,138000,158.0,18353,2.5%,254.1,-10.5%,10323,5270
153,Hartford Financial Services Group,16900,152.0,18300,-0.4%,896.0,-46.7%,223432,17795
154,Thermo Fisher Scientific,54800,164.0,18274,7.7%,2021.8,2.3%,45908,59964
155,Kimberly-Clark,42000,151.0,18202,-2.1%,2166.0,113.8%,14602,46828
156,Molina Healthcare,21000,201.0,17782,25.4%,52.0,-63.6%,7449,2601
157,PG&E Corp.,24000,166.0,17666,4.9%,1393.0,59.4%,68598,33696
158,Supervalu,38000,160.0,17529,-1.6%,178.0,-7.3%,4370,1033
159,Cummins,55400,148.0,17509,-8.4%,1394.0,-0.4%,15011,25397
160,CenturyLink,40000,159.0,17470,-2.4%,626.0,-28.7%,47017,12883
161,AECOM,87000,156.0,17411,-3.2%,96.1,-,13727,5528
162,Xerox,133600,150.0,17126,-8.2%,-477.0,-200.6%,18145,7462
163,Marriott International,226500,195.0,17072,17.9%,780.0,-9.2%,24140,36124
164,Paccar,23000,147.0,17033,-10.9%,521.7,-67.5%,20639,23604
165,General Mills,39000,161.0,16563,-6.1%,1697.4,39.0%,21712,33998
166,PNC Financial Services Group,50683,171.0,16423,0.9%,3903.0,-4.9%,366380,58455
167,American Electric Power,17634,165.0,16380,-3.1%,610.9,-70.2%,63468,33009
168,Icahn Enterprises,90980,184.0,16348,7.0%,-1128.0,-,33335,7989
169,Nucor,23900,170.0,16208,-1.4%,796.3,122.6%,15224,19051
170,NextEra Energy,14700,163.0,16155,-7.6%,2912.0,5.8%,89993,60099
171,Performance Food Group,13000,185.0,16105,5.5%,68.3,20.9%,3455,2464
172,PBF Energy,3165,217.0,15920,21.3%,170.8,16.7%,7622,2431
173,Halliburton,50000,117.0,15887,-32.8%,-5763.0,-,27000,42662
174,CarMax,22429,191.0,15833,6.4%,623.4,4.4%,14482,11081
175,Freeport-McMoRan,30000,175.0,15789,-0.6%,-4154.0,-,37317,19310
176,Whole Foods Market,73515,181.0,15724,2.2%,507.0,-5.4%,6341,9468
177,Bank of New York Mellon Corp.,52000,179.0,15683,1.0%,3547.0,12.3%,333469,48913
178,Gap,135000,177.0,15516,-1.8%,676.0,-26.5%,7610,9712
179,Omnicom Group,78500,186.0,15417,1.9%,1148.6,5.0%,23165,20219
180,Genuine Parts,40000,183.0,15340,0.4%,687.2,-2.6%,8859,13712
181,DaVita HealthCare Partners,70300,200.0,15197,6.9%,879.9,226.2%,18741,13227
182,Colgate-Palmolive,36700,174.0,15195,-5.2%,2441.0,76.4%,12123,64715
183,PPG Industries,47000,182.0,15178,-1.0%,877.0,-37.6%,15769,26970
184,Goodyear Tire & Rubber,66000,169.0,15158,-7.8%,1264.0,311.7%,16511,9070
185,Synchrony Financial,15000,,15122,11.0%,2251.0,1.7%,90207,27810
186,DISH Network,16000,187.0,15095,0.2%,1449.9,94.1%,28092,29547
187,Visa,14200,204.0,15082,8.7%,5991.0,-5.3%,64035,206242
188,Nordstrom,72500,197.0,14757,2.2%,354.0,-41.0%,7858,7770
189,INTL FCStone,1464,83.0,14755,-57.5%,54.7,-1.8%,5951,708
190,WestRock,39000,251.0,14706,29.2%,-396.3,-178.2%,23038,13029
191,XPO Logistics,87000,353.0,14619,91.8%,69.0,-,11698,5338
192,Aramark,217250,199.0,14416,0.6%,287.8,22.0%,10582,9081
193,CBS,18410,203.0,14386,3.6%,1261.0,-10.8%,24238,28405
194,AES,19000,190.0,14287,-4.5%,-1130.0,-469.3%,36119,7371
195,WellCare Health Plans,7400,202.0,14237,2.5%,242.1,104.1%,6153,6212
196,FirstEnergy,15707,188.0,14156,-3.1%,-6177.0,-,43148,14118
197,ConAgra Foods,20900,176.0,14134,-10.8%,-677.0,-,13391,17557
198,Synnex,110000,212.0,14062,5.4%,234.9,12.7%,5223,4469
199,CDW,8516,220.0,13982,7.6%,424.4,5.3%,6948,9197
200,Textron,36000,209.0,13788,2.7%,962.0,38.0%,15358,12851
201,Waste Management,41200,221.0,13609,5.0%,1182.0,57.0%,20859,32216
202,Illinois Tool Works,50000,211.0,13599,1.4%,2035.0,7.2%,15201,45791
203,Office Depot,38000,196.0,13585,-6.2%,529.0,-,5540,2402
204,Monsanto,22450,189.0,13502,-10.0%,1336.0,-42.3%,19736,49644
205,Cognizant Technology Solutions,260200,230.0,13487,8.6%,1553.0,-4.3%,14262,36226
206,Texas Instruments,29865,219.0,13370,2.8%,3595.0,20.4%,16431,80531
207,Lincoln National,9057,205.0,13330,-1.8%,1192.0,3.3%,261627,14760
208,Newell Brands,53400,434.0,13264,122.1%,527.8,50.8%,33838,22787
209,Land OÕLakes,10000,215.0,13233,0.6%,244.9,-20.4%,8305,-
210,Marsh & McLennan,60000,222.0,13211,2.5%,1768.0,10.6%,18190,38078
211,Ecolab,47565,206.0,13153,-2.9%,1229.6,22.7%,18330,36356
212,C.H. Robinson Worldwide,14125,208.0,13144,-2.5%,513.4,0.7%,3688,10958
213,Loews,15800,210.0,13105,-2.3%,654.0,151.5%,76594,15747
214,CBRE Group,75000,259.0,13072,20.4%,572.0,4.5%,10780,11753
215,Kinder Morgan,11121,198.0,13058,-9.3%,708.0,179.8%,80305,48533
216,Kellogg,37369,207.0,13014,-3.8%,694.0,13.0%,15111,25417
217,Western Digital,72878,194.0,12994,-10.8%,242.0,-83.5%,32862,23775
218,Guardian Life Ins. Co. of America,8876,226.0,12919,2.3%,263.9,-35.7%,70339,-
219,Ross Stores,78600,237.0,12867,7.8%,1117.7,9.5%,5309,25814
220,L Brands,59100,234.0,12574,3.5%,1158.1,-7.6%,8170,13426
221,J.C. Penney,106000,228.0,12547,-0.6%,1.0,-,9314,1901
222,Farmers Insurance Exchange,13309,227.0,12513,-0.9%,-147.9,-,16057,-
223,Reynolds American,5525,266.0,12503,17.1%,6073.0,86.7%,51095,89862
224,Viacom,9650,213.0,12488,-5.9%,1438.0,-25.2%,22508,18503
225,Becton Dickinson,50928,278.0,12483,21.4%,976.0,40.4%,25586,39041
226,Micron Technology,31400,173.0,12399,-23.4%,-276.0,-109.5%,27540,31972
227,Principal Financial,14854,236.0,12394,3.6%,1316.5,6.7%,228014,18143
228,Alcoa,41500,126.0,12394,-45.0%,-941.0,-,20038,11604
229,NRG Energy,8763,193.0,12351,-15.8%,-774.0,-,30355,5911
230,VF,69000,231.0,12207,-1.4%,1074.1,-12.8%,9739,22786
231,Devon Energy,3545,216.0,12197,-7.2%,-3302.0,-,25913,21886
232,D.R. Horton,6976,260.0,12157,12.3%,886.3,18.1%,11559,12438
233,Bed Bath & Beyond,62000,238.0,12104,1.9%,841.5,-12.1%,6499,5931
234,Consolidated Edison,14960,229.0,12075,-3.8%,1245.0,4.4%,48255,23708
235,Edison International,12390,246.0,11869,3.0%,1311.0,28.5%,51319,25938
236,Sherwin-Williams,42550,253.0,11856,4.6%,1132.7,7.5%,6753,28891
237,NGL Energy Partners,3200,167.0,11742,-30.1%,-198.9,-633.2%,5560,2686
238,Dominion Resources,16200,243.0,11737,0.5%,2123.0,11.8%,71610,48732
239,Ameriprise Financial,13195,232.0,11735,-3.8%,1314.0,-15.9%,139821,19953
240,ADP,57000,248.0,11668,1.7%,1492.5,2.8%,43670,45963
241,Hilton Worldwide Holdings,169000,254.0,11663,3.5%,348.0,-75.2%,26211,19276
242,First Data,24000,249.0,11584,1.2%,420.0,-,40292,14224
243,Henry Schein,21000,268.0,11572,8.9%,506.8,5.8%,6730,13461
244,Toys ÒRÓ Us,64000,240.0,11540,-2.2%,-36.0,-,6908,-
245,BB&T Corp.,37500,273.0,11538,11.5%,2426.0,16.4%,219276,36141
246,Reinsurance Group of America,2371,271.0,11522,10.6%,701.4,39.7%,53098,8169
247,Core-Mark Holding,7688,317.0,11507,29.9%,54.2,5.2%,1497,1445
248,Biogen,7400,263.0,11449,6.4%,3702.8,4.4%,22877,59046
249,Las Vegas Sands,49000,241.0,11410,-2.4%,1670.0,-15.1%,20469,45313
250,Stanley Black & Decker,54023,256.0,11407,1.7%,965.3,9.2%,15635,20280
251,Parker-Hannifin,48950,224.0,11361,-10.6%,806.8,-20.3%,12057,21370
252,Stryker,33000,287.0,11325,13.9%,1647.0,14.5%,20435,49115
253,Estee Lauder,46000,261.0,11262,4.5%,1114.6,2.4%,9223,31068
254,Celgene,7132,305.0,11229,21.3%,1999.2,24.8%,28086,96802
255,BlackRock,13000,250.0,11155,-2.2%,3172.0,-5.2%,220177,62225
256,Xcel Energy,11476,257.0,11107,0.7%,1123.4,14.1%,41155,22546
257,CSX,26628,239.0,11069,-6.3%,1714.0,-12.9%,35414,43126
258,Unum Group,9400,265.0,11047,2.9%,931.4,7.4%,61942,10749
259,Jacobs Engineering Group,49350,235.0,10964,-9.5%,210.5,-30.5%,7360,6693
260,Lennar,8335,301.0,10950,15.6%,911.8,13.6%,15362,12002
261,Group 1 Automotive,13500,267.0,10888,2.4%,147.1,56.5%,4462,1584
262,Leucadia National,13000,242.0,10875,-6.9%,130.0,-54.2%,45071,9355
263,Entergy,13513,247.0,10846,-5.8%,-583.6,-,45904,13685
264,PayPal Holdings,18100,307.0,10842,17.2%,1401.0,14.1%,33103,51650
265,Applied Materials,16150,295.0,10825,12.1%,1721.0,25.0%,14588,42005
266,Voya Financial,6700,252.0,10782,-4.9%,-428.0,-204.8%,214235,7191
267,MasterCard,11900,294.0,10776,11.5%,4059.0,6.6%,18675,121234
268,Priceline Group,18500,308.0,10743,16.5%,2135.0,-16.3%,19839,87522
269,Liberty Interactive,21080,284.0,10647,6.6%,1235.0,42.1%,20355,9101
270,AutoZone,66780,280.0,10636,4.4%,1241.0,7.0%,8600,20540
271,State Street Corp.,33783,264.0,10635,-1.2%,2143.0,8.2%,242698,30406
272,DTE Energy,10000,274.0,10630,2.8%,868.0,19.4%,32041,18317
273,L-3 Communications,38000,245.0,10597,-8.3%,710.0,-,11865,12859
274,HollyFrontier,2676,214.0,10536,-20.4%,-260.5,-135.2%,9436,5048
275,Praxair,26498,262.0,10534,-2.2%,1500.0,-3.0%,19332,33834
276,Universal Health Services,70863,290.0,10508,7.4%,702.4,3.2%,10318,12022
277,Discover Financial Services,15549,283.0,10497,4.9%,2393.0,4.2%,92308,26255
278,Occidental Petroleum,11000,225.0,10398,-18.1%,-574.0,-,43109,48444
279,United States Steel,29800,244.0,10261,-11.3%,-440.0,-,9160,5893
280,Sempra Energy,16575,279.0,10183,-0.5%,1370.0,1.6%,47786,27692
281,Baxter International,48000,286.0,10163,2.0%,4965.0,412.9%,15546,28106
282,W.W. Grainger,25000,285.0,10137,1.6%,605.9,-21.2%,5694,13668
283,Autoliv,65900,310.0,10074,9.9%,567.1,24.1%,8234,9032
284,Norfolk Southern,27856,270.0,9888,-5.9%,1668.0,7.2%,34892,32515
285,Baker Hughes,33000,178.0,9841,-37.5%,-2738.0,-,19034,25444
286,Ally Financial,7600,298.0,9835,3.1%,1067.0,-17.2%,163728,9437
287,Sonic Automotive,9800,297.0,9732,1.1%,93.2,8.0%,3639,900
288,Owens & Minor,7900,291.0,9723,-0.5%,108.8,5.2%,2718,2114
289,Huntsman,15000,277.0,9657,-6.2%,326.0,250.5%,9189,5880
290,Laboratory Corp. of America,52000,325.0,9642,11.1%,732.1,67.6%,14247,14696
291,Murphy USA,6600,258.0,9633,-11.5%,221.5,25.6%,2089,2706
292,Advance Auto Parts,57500,293.0,9568,-1.7%,459.6,-2.9%,8315,10944
293,Fidelity National Financial,55219,311.0,9554,4.6%,650.0,23.3%,14463,10600
294,Air Products & Chemicals,18450,288.0,9524,-3.7%,631.1,-50.6%,18055,29438
295,Hormel Foods,21100,304.0,9523,2.8%,890.1,29.7%,6370,18316
296,Hertz Global Holdings,36000,269.0,9480,-10.0%,-491.0,-279.9%,19155,1456
297,MGM Resorts International,66500,309.0,9455,2.9%,1101.4,-,28173,15733
298,Corning,40700,313.0,9390,3.1%,3695.0,176.0%,27899,25030
299,Republic Services,33000,312.0,9388,3.0%,612.6,-18.3%,20630,21312
300,Alcoa,14000,,9318,-,-400.0,-,16741,6337
301,Fidelity National Information Services,55000,392.0,9241,40.1%,568.0,-10.1%,26031,26178
302,Pacific Life,3628,326.0,9169,6.1%,824.0,24.7%,143298,-
303,SunTrust Banks,24375,329.0,9161,7.4%,1878.0,-2.8%,204875,27175
304,LKQ,42500,369.0,9082,26.3%,464.0,9.6%,8303,9021
305,BorgWarner,27000,339.0,9071,13.1%,118.5,-80.6%,8835,8895
306,Ball,18450,341.0,9061,13.3%,263.0,-6.4%,16173,13000
307,CST Brands,12380,299.0,9061,-4.6%,324.0,117.4%,4360,3645
308,Public Service Enterprise Group,13065,272.0,9061,-13.0%,887.0,-47.2%,40070,22451
309,Eastman Chemical,14000,296.0,9008,-6.6%,854.0,0.7%,15457,11783
310,eBay,12600,300.0,8979,-5.4%,7266.0,321.2%,23847,36232
311,Mohawk Industries,37800,338.0,8959,11.0%,930.4,51.2%,10231,17025
312,Oneok,2384,348.0,8921,14.9%,352.0,43.7%,16139,11684
313,Frontier Communications,28332,461.0,8896,59.5%,-373.0,-,29013,2521
314,Netflix,3850,379.0,8831,30.3%,186.7,52.2%,13587,63619
315,American Family Insurance Group,10471,332.0,8829,6.6%,325.6,-53.1%,22662,-
316,Thrivent Financial for Lutherans,3282,318.0,8777,-0.1%,587.8,-23.6%,88561,-
317,Expedia,20075,385.0,8774,31.5%,281.8,-63.1%,15778,18901
318,Lithia Motors,11170,346.0,8678,10.3%,197.1,7.7%,3844,2156
