Rank,Company Name,Number of Employees,Previous Rank,Revenues ($m),Revenue Change,Profits ($m),Profit Change,Assets ($m),Market Value ($m)
395,A-Mark Precious Metals,83000,426.0,6784,11.8%,9.3,31.5%,437,120
396,Tractor Supply,19500,415.0,6780,8.9%,437.1,6.5%,2675,8960
397,Sealed Air,23000,375.0,6778,-3.6%,486.4,45.0%,7389,8432
398,Auto-Owners Insurance,4737,398.0,6775,4.0%,706.3,-13.4%,21571,-
399,Yum China Holdings,420000,,6752,-,502.0,-,3727,10453
400,Calpine,2372,402.0,6716,3.8%,92.0,-60.9%,19317,3989
401,Owens-Illinois,27000,418.0,6702,8.9%,209.0,54.8%,9135,3316
402,Targa Resources,1970,387.0,6691,0.5%,-187.3,-421.3%,12871,11743
403,JetBlue Airways,15986,405.0,6632,3.4%,759.0,12.1%,9487,6875
404,Jones Financial,43000,382.0,6632,-0.9%,746.0,-11.0%,19424,-
405,Franklin Resources,9059,344.0,6618,-16.7%,1726.7,-15.2%,16099,23823
406,Activision Blizzard,9500,532.0,6608,41.7%,966.0,8.3%,17452,37487
407,J.B. Hunt Transport Services,22190,416.0,6556,5.9%,432.1,1.1%,3829,10212
408,Constellation Brands,9000,429.0,6548,8.6%,1054.9,25.7%,16965,31775
409,NCR,33500,409.0,6543,2.7%,270.0,-,7673,5620
410,Asbury Automotive Group,7900,393.0,6528,-0.9%,167.2,-1.2%,2336,1271
411,American Financial Group,7600,421.0,6498,5.7%,649.0,84.4%,55072,8303
412,Discovery Communications,7000,406.0,6497,1.6%,1194.0,15.5%,15758,11306
413,Berry Global Group,21000,518.0,6489,32.9%,236.0,174.4%,7653,6256
414,Sanmina,40178,408.0,6481,1.7%,187.8,-50.2%,3625,3016
415,CalAtlantic Group,3055,640.0,6477,83.0%,484.7,127.0%,8709,4291
416,Dr Pepper Snapple Group,20000,413.0,6440,2.5%,847.0,10.9%,9791,17997
417,DillardÕs,30800,380.0,6418,-5.0%,169.2,-37.2%,3888,1645
418,HRG Group,16021,441.0,6403,10.1%,-198.8,-,35793,3869
419,CMS Energy,7750,403.0,6399,-0.9%,551.0,5.4%,21622,12528
420,Graybar Electric,8500,423.0,6385,4.5%,93.1,2.2%,2099,-
421,Builders FirstSource,14000,637.0,6367,78.6%,144.3,-,2910,1669
422,Yum Brands,90000,218.0,6366,-51.4%,1619.0,25.2%,5478,22611
423,CaseyÕs General Stores,24724,374.0,6304,-10.6%,226.0,25.1%,2726,4400
424,Amphenol,62000,462.0,6286,12.9%,822.9,7.8%,8499,21897
425,Oshkosh,13800,424.0,6279,3.0%,216.4,-5.7%,4514,5118
426,iHeartMedia,18700,414.0,6274,0.5%,-296.3,-,12862,330
427,TreeHouse Foods,16027,686.0,6175,92.6%,-228.6,-298.9%,6546,4813
428,Alleghany,3420,509.0,6131,22.6%,456.9,-18.5%,23757,9476
429,Expeditors International of Washington,16000,390.0,6098,-7.8%,430.8,-5.8%,2791,10208
