rank,title,Previous Rank,Revenues ($M),Revenue Change,Profits ($M),Profit Change,Assets ($M),Mkt Value as of 3/29/18 ($M),Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State,Latitude,Longitude
159,Jabil,152,19063.10 ,3.90%,129.10 ,-49.20%,11096 ,5035 ,170000,Mark T. Mondello,Chairman &  Chief Executive Officer,Technology,Semiconductors and Other Electronic Components,17,St. Petersburg,FL,27.767600800000004,-82.6402915
160,Community Health Systems,130,18477 ,-13.60%,(2459.00),-,17450 ,454 ,86000,Wayne T. Smith,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,12,Franklin,TN,35.9250637,-86.86888990000001
161,Visa,187,18358 ,21.70%,6699.00 ,11.80%,67977 ,270222 ,15000,Alfred F. Kelly Jr.,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,10,SF,CA,37.7749295,-122.4194155
162,Danaher,144,18330 ,-7.90%,2492.10 ,-2.40%,46649 ,68385 ,67000,Thomas P. Joyce Jr.,"President, Chief Executive Officer &  Director",Health Care,Medical Products and Equipment,20,Leavenworth,WA,47.751074100000004,-120.7401385
163,Kimberly-Clark,155,18259 ,0.30%,2278.00 ,5.20%,15151 ,38553 ,42000,Thomas J. Falk,Chairman &  Chief Executive Officer,Household Products,Household and Personal Products,24,Irving,TX,32.814017699999994,-96.9488945
164,AECOM,161,18203 ,4.60%,339.40 ,253.10%,14397 ,5671 ,87000,Michael S. Burke,Chairman &  Chief Executive Officer,Engineering &  Construction,"Engineering, Construction",10,Los Angeles,CA,34.0522342,-118.24368490000002
165,PNC Financial Services,166,18035 ,9.80%,5338.00 ,36.80%,380768 ,71323 ,51632,William S. Demchak,"Chairman, President &  Chief Executive Officer",Financials,Commercial Banks,24,Pittsburgh,PA,40.440624799999995,-79.9958864
166,CenturyLink,160,17656 ,1.10%,1389.00 ,121.90%,75611 ,17578 ,51000,Jeffrey K. Storey,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,9,Monroe,LA,32.5093109,-92.1193012
167,NextEra Energy,170,17195 ,6.40%,5378.00 ,84.70%,97827 ,76895 ,14000,James L. Robo,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,North Palm Beach,FL,26.879781899999998,-80.0533743
168,PG& E Corp.,157,17135 ,-3.00%,1646.00 ,18.20%,68012 ,22664 ,23000,Geisha J. Williams,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,SF,CA,37.7749295,-122.4194155
169,Synnex,198,17046 ,21.20%,301.20 ,28.20%,7699 ,4702 ,113600,Dennis Polk,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Electronics and Office Equipment,12,Fremont,CA,37.548269700000006,-121.98857190000001
170,WellCare Health Plans,195,17007 ,19.50%,373.70 ,54.40%,8365 ,8622 ,8900,Kenneth A. Burdick,Chairman &  Chief Executive Officer,Health Care,Health Care: Insurance and Managed Care,10,Tampa,FL,27.950575,-82.4571776
171,Performance Food Group,171,16762 ,4.10%,96.30 ,41.00%,3804 ,3104 ,14000,George L. Holm,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Food and Grocery,10,Richmond,VA,37.540724600000004,-77.4360481
172,Sears Holdings,127,16702 ,-24.60%,(383.00),-,7262 ,288 ,89000,Edward S. Lampert,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Hoffman Estates,IL,42.062991499999995,-88.1227199
173,Synchrony Financial,185,16695 ,10.40%,1935.00 ,-14.00%,95808 ,25490 ,16000,Margaret M. Keane,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,2,Stamford,CT,41.0534302,-73.53873409999999
174,CarMax,174,16637 ,5.10%,627.00 ,0.60%,16279 ,11202 ,24344,William D. Nash,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",15,Richmond,VA,37.540724600000004,-77.4360481
175,Bank of New York Mellon,177,16621 ,6.00%,4090.00 ,15.30%,371758 ,51919 ,52500,Charles W. Scharf,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,New York City,NY,40.7127753,-74.0059728
176,Freeport-McMoRan,175,16416 ,4.00%,1817.00 ,-,37302 ,25439 ,25200,Richard C. Adkerson,"Vice Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",13,Phoenix,AZ,33.4483771,-112.07403729999999
177,Genuine Parts,180,16309 ,6.30%,616.80 ,-10.30%,12412 ,13183 ,48000,Paul D. Donahue,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,24,Atlanta,GA,33.7489954,-84.3879824
178,Emerson Electric,139,16301 ,-19.60%,1518.00 ,-7.20%,19589 ,43359 ,76500,David N. Farr,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,St. Louis,MO,38.6270025,-90.1994042
179,DaVita,181,16038 ,5.50%,663.60 ,-24.60%,18948 ,12001 ,74500,Kent J. Thiry,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,12,Denver,CO,39.739235799999996,-104.990251
180,Supervalu,158,16009 ,-8.70%,650.00 ,265.20%,3580 ,585 ,29000,Mark Gross,"President, Chief Executive Officer &  Director",Food &  Drug Stores,Food and Drug Stores,24,Eden Prairie,MN,44.8546856,-93.470786
181,Gap,178,15855 ,2.20%,848.00 ,25.40%,7989 ,12147 ,135000,Arthur L. Peck,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Apparel,24,SF,CA,37.7749295,-122.4194155
182,General Mills,165,15620 ,-5.70%,1657.50 ,-2.40%,21813 ,26716 ,38000,Jeffrey L. Harmening,Chairman &  Chief Executive Officer,"Food, Beverages &  Tobacco",Food Consumer Products,24,Minneapolis,MN,44.977753,-93.2650108
183,Nordstrom,188,15478 ,4.90%,437.00 ,23.40%,8115 ,8123 ,76000,Blake W. Nordstrom,Co-President &  Director,Retailing,General Merchandisers,24,Seattle,WA,47.6062095,-122.33207079999998
